DrugBank ID,Name,CAS Number,Drug Groups,InChIKey,InChI,SMILES,Formula,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,ChEMBL ID,HET ID,ChemSpider ID,BindingDB ID
DB00794,Primidone,125-33-7,approved; vet_approved,DQMZLTXERSFNPB-UHFFFAOYSA-N,"InChI=1S/C12H14N2O2/c1-2-12(9-6-4-3-5-7-9)10(15)13-8-14-11(12)16/h3-7H,2,8H2,1H3,(H,13,15)(H,14,16)",CCC1(C(=O)NCNC1=O)C1=CC=CC=C1,C12H14N2O2,C07371,D00474,4909,46507775,8412,CHEMBL856,,4740,50248152
DB00795,Sulfasalazine,599-79-1,approved,NCEXYHBECQHGNR-QZQOTICOSA-N,"InChI=1S/C18H14N4O5S/c23-16-9-6-13(11-15(16)18(24)25)21-20-12-4-7-14(8-5-12)28(26,27)22-17-3-1-2-10-19-17/h1-11,23H,(H,19,22)(H,24,25)/b21-20+",OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1,C18H14N4O5S,C07316,D00448,5359476,46505451,9334,CHEMBL421,SAS,10605946,50103596
DB00796,Candesartan cilexetil,145040-37-5,approved,GHOSNRCGJFBJIB-UHFFFAOYSA-N,"InChI=1S/C33H34N6O6/c1-3-42-32-34-28-15-9-14-27(31(40)43-21(2)44-33(41)45-24-10-5-4-6-11-24)29(28)39(32)20-22-16-18-23(19-17-22)25-12-7-8-13-26(25)30-35-37-38-36-30/h7-9,12-19,21,24H,3-6,10-11,20H2,1-2H3,(H,35,36,37,38)",CCOC1=NC2=C(N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1)C(=CC=C2)C(=O)OC(C)OC(=O)OC1CCCCC1,C33H34N6O6,,D00626,2540,46508342,3348,CHEMBL1014,,2444,50318907
DB00799,Tazarotene,118292-40-3,approved; investigational,OGQICQVSFDPSEI-UHFFFAOYSA-N,"InChI=1S/C21H21NO2S/c1-4-24-20(23)16-7-9-17(22-14-16)8-5-15-6-10-19-18(13-15)21(2,3)11-12-25-19/h6-7,9-10,13-14H,4,11-12H2,1-3H3",CCOC(=O)C1=CN=C(C=C1)C#CC1=CC2=C(SCCC2(C)C)C=C1,C21H21NO2S,C12531,D01132,5381,46508992,32184,CHEMBL1657,,5188,50265951
DB00800,Fenoldopam,67227-56-9,approved,TVURRHSHRRELCG-UHFFFAOYSA-N,"InChI=1S/C16H16ClNO3/c17-15-11-5-6-18-8-13(9-1-3-10(19)4-2-9)12(11)7-14(20)16(15)21/h1-4,7,13,18-21H,5-6,8H2",OC1=CC=C(C=C1)C1CNCCC2=C(Cl)C(O)=C(O)C=C12,C16H16ClNO3,C07693,D00613,3341,46504963,5002,CHEMBL588,,3224,60917
DB00802,Alfentanil,71195-58-9,approved; illicit,IDBPHNDTYPBSNI-UHFFFAOYSA-N,"InChI=1S/C21H32N6O3/c1-4-19(28)27(18-9-7-6-8-10-18)21(17-30-3)11-13-24(14-12-21)15-16-26-20(29)25(5-2)22-23-26/h6-10H,4-5,11-17H2,1-3H3",CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,C21H32N6O3,C08005,D07122,51263,46505618,2569,CHEMBL634,,46451,83450
DB00804,Dicyclomine,77-19-0,approved,CURUTKGFNZGFSE-UHFFFAOYSA-N,"InChI=1S/C19H35NO2/c1-3-20(4-2)15-16-22-18(21)19(13-9-6-10-14-19)17-11-7-5-8-12-17/h17H,3-16H2,1-2H3",CCN(CC)CCOC(=O)C1(CCCCC1)C1CCCCC1,C19H35NO2,C06951,,3042,46505371,4514,CHEMBL1123,,2934,50010101
DB00806,Pentoxifylline,6493/5/6,approved; investigational,BYPFEZZEUUWMEJ-UHFFFAOYSA-N,"InChI=1S/C13H18N4O3/c1-9(18)6-4-5-7-17-12(19)10-11(14-8-15(10)2)16(3)13(17)20/h8H,4-7H2,1-3H3",CN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C,C13H18N4O3,C07424,D00501,4740,46505940,7986,CHEMBL628,PNX,4578,10850
DB00808,Indapamide,26807-65-8,approved,NDDAHWYSQHTHNT-UHFFFAOYSA-N,"InChI=1S/C16H16ClN3O3S/c1-10-8-11-4-2-3-5-14(11)20(10)19-16(21)12-6-7-13(17)15(9-12)24(18,22)23/h2-7,9-10H,8H2,1H3,(H,19,21)(H2,18,22,23)",CC1CC2=CC=CC=C2N1NC(=O)C1=CC(=C(Cl)C=C1)S(N)(=O)=O,C16H16ClN3O3S,,D00345,3702,46508626,5893,CHEMBL406,,3574,25901
DB00809,Tropicamide,1508-75-4,approved; investigational,BGDKAVGWHJFAGW-UHFFFAOYSA-N,"InChI=1S/C17H20N2O2/c1-2-19(12-14-8-10-18-11-9-14)17(21)16(13-20)15-6-4-3-5-7-15/h3-11,16,20H,2,12-13H2,1H3",CCN(CC1=CC=NC=C1)C(=O)C(CO)C1=CC=CC=C1,C17H20N2O2,,D00397,5593,46505924,9757,CHEMBL1200604,,5391,82371
DB00810,Biperiden,514-65-8,approved; investigational,YSXKPIUOCJLQIE-UHFFFAOYSA-N,"InChI=1S/C21H29NO/c23-21(19-7-3-1-4-8-19,11-14-22-12-5-2-6-13-22)20-16-17-9-10-18(20)15-17/h1,3-4,7-10,17-18,20,23H,2,5-6,11-16H2",OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1,C21H29NO,C07941,D00779,2381,46508325,3112,CHEMBL1101,,2289,50240680
DB00811,Ribavirin,36791-04-5,approved,IWUCXVSUMQZMFG-AFCXAGJDSA-N,"InChI=1S/C8H12N4O5/c9-6(16)7-10-2-12(11-7)8-5(15)4(14)3(1-13)17-8/h2-5,8,13-15H,1H2,(H2,9,16)/t3-,4-,5-,8-/m1/s1",NC(=O)C1=NN(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C8H12N4O5,,D00423,37542,46505883,63580,CHEMBL1643,RBV,34439,50154375
DB00813,Fentanyl,437-38-7,approved; illicit; investigational; vet_approved,PJMPHNIQZUBGLI-UHFFFAOYSA-N,"InChI=1S/C22H28N2O/c1-2-22(25)24(20-11-7-4-8-12-20)21-14-17-23(18-15-21)16-13-19-9-5-3-6-10-19/h3-12,21H,2,13-18H2,1H3",CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,C22H28N2O,,D00320,3345,46506372,119915,CHEMBL596,7V7,3228,50008984
DB00814,Meloxicam,71125-38-7,approved; vet_approved,ZRVUJXDFFKFLMG-UHFFFAOYSA-N,"InChI=1S/C14H13N3O4S2/c1-8-7-15-14(22-8)16-13(19)11-12(18)9-5-3-4-6-10(9)23(20,21)17(11)2/h3-7,18H,1-2H3,(H,15,16,19)",CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=C(C=CC=C2)S1(=O)=O,C14H13N3O4S2,C08169,D00969,54677470,46506624,6741,CHEMBL599,MXM,10442740,50056998
DB00818,Propofol,2078-54-8,approved; investigational; vet_approved,OLBCVFGFOZPWHH-UHFFFAOYSA-N,"InChI=1S/C12H18O/c1-8(2)10-6-5-7-11(9(3)4)12(10)13/h5-9,13H,1-4H3",CC(C)C1=CC=CC(C(C)C)=C1O,C12H18O,C07523,D00549,4943,46504991,44915,CHEMBL526,PFL,4774,50058046
DB00819,Acetazolamide,59-66-5,approved; vet_approved,BZKPWHYZMXOIDC-UHFFFAOYSA-N,"InChI=1S/C4H6N4O3S2/c1-2(9)6-3-7-8-4(12-3)13(5,10)11/h1H3,(H2,5,10,11)(H,6,7,9)",CC(=O)NC1=NN=C(S1)S(N)(=O)=O,C4H6N4O3S2,C06805,D00218,1986,46504493,27690,CHEMBL20,AZM,1909,10880
DB00820,Tadalafil,171596-29-5,approved; investigational,WOXKDUGGOYFFRN-IIBYNOLFSA-N,"InChI=1S/C22H19N3O4/c1-24-10-19(26)25-16(22(24)27)9-14-13-4-2-3-5-15(13)23-20(14)21(25)12-6-7-17-18(8-12)29-11-28-17/h2-8,16,21,23H,9-11H2,1H3/t16-,21-/m1/s1",[H][C@]12CC3=C(NC4=CC=CC=C34)[C@H](N1C(=O)CN(C)C2=O)C1=CC2=C(OCO2)C=C1,C22H19N3O4,,D02008,110635,46507646,71940,CHEMBL779,CIA,99301,14777
DB00822,Disulfiram,97-77-8,approved,AUZONCFQVSMFAP-UHFFFAOYSA-N,"InChI=1S/C10H20N2S4/c1-5-11(6-2)9(13)15-16-10(14)12(7-3)8-4/h5-8H2,1-4H3",CCN(CC)C(=S)SSC(=S)N(CC)CC,C10H20N2S4,C01692,D00131,3117,46506008,4659,CHEMBL964,,3005,50058655
DB00826,Natamycin,7681-93-8,approved,NCXMLFZGDNKEPB-FFPOYIOWSA-N,"InChI=1S/C33H47NO13/c1-18-10-8-6-4-3-5-7-9-11-21(45-32-30(39)28(34)29(38)19(2)44-32)15-25-27(31(40)41)22(36)17-33(42,47-25)16-20(35)14-24-23(46-24)12-13-26(37)43-18/h3-9,11-13,18-25,27-30,32,35-36,38-39,42H,10,14-17,34H2,1-2H3,(H,40,41)/b4-3+,7-5+,8-6+,11-9+,13-12+/t18-,19-,20+,21+,22+,23-,24-,25+,27-,28+,29-,30+,32+,33-/m1/s1",[H][C@@]12C[C@H](O)C[C@]3(O)C[C@H](O)[C@@H](C(O)=O)[C@]([H])(C[C@@H](O[C@]4([H])O[C@H](C)[C@@H](O)[C@H](N)[C@@H]4O)\C=C\C=C\C=C\C=C\C[C@@H](C)OC(=O)\C=C\[C@@]1([H])O2)O3,C33H47NO13,C08073,D00884,5284447,46509171,,CHEMBL1200656,,10468784,50370755
DB00827,Cinoxacin,28657-80-9,approved; investigational; withdrawn,VDUWPHTZYNWKRN-UHFFFAOYSA-N,"InChI=1S/C12H10N2O5/c1-2-14-7-4-9-8(18-5-19-9)3-6(7)11(15)10(13-14)12(16)17/h3-4H,2,5H2,1H3,(H,16,17)",CCN1N=C(C(O)=O)C(=O)C2=CC3=C(OCO3)C=C12,C12H10N2O5,C08052,D00872,2762,46507547,3716,CHEMBL1208,,2660,39350
DB00828,Fosfomycin,23155-02-4,approved,YMDXZJFXQJVXBF-STHAYSLISA-N,"InChI=1S/C3H7O4P/c1-2-3(7-2)8(4,5)6/h2-3H,1H3,(H2,4,5,6)/t2-,3+/m0/s1",C[C@@H]1O[C@@H]1P(O)(O)=O,C3H7O4P,C06454,D04253,446987,46506665,28915,CHEMBL1757,FCN,394204,50024894
DB00829,Diazepam,439-14-5,approved; illicit; investigational; vet_approved,AAOVKJBEBIDNHE-UHFFFAOYSA-N,"InChI=1S/C16H13ClN2O/c1-19-14-8-7-12(17)9-13(14)16(18-10-15(19)20)11-5-3-2-4-6-11/h2-9H,10H2,1H3",CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,C16H13ClN2O,C06948,D00293,3016,46505210,49575,CHEMBL12,DZP,2908,50000766
DB00831,Trifluoperazine,117-89-5,approved; investigational,ZEWQUBUPAILYHI-UHFFFAOYSA-N,"InChI=1S/C21H24F3N3S/c1-25-11-13-26(14-12-25)9-4-10-27-17-5-2-3-6-19(17)28-20-8-7-16(15-18(20)27)21(22,23)24/h2-3,5-8,15H,4,9-14H2,1H3",CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1,C21H24F3N3S,C07168,D08636,5566,46507961,45951,CHEMBL422,TFP,5365,79181
DB00833,Cefaclor,53994-73-3,approved,QYIYFLOTGYLRGG-GPCCPHFNSA-N,"InChI=1S/C15H14ClN3O4S/c16-8-6-24-14-10(13(21)19(14)11(8)15(22)23)18-12(20)9(17)7-4-2-1-3-5-7/h1-5,9-10,14H,6,17H2,(H,18,20)(H,22,23)/t9-,10-,14-/m1/s1",[H][C@]12SCC(Cl)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,C15H14ClN3O4S,C06877,D00256,51039,46507693,3478,CHEMBL680,,46260,42131
DB00834,Mifepristone,84371-65-3,approved; investigational,VKHAHZOOUSRJNA-GCNJZUOMSA-N,"InChI=1S/C29H35NO2/c1-5-15-29(32)16-14-26-24-12-8-20-17-22(31)11-13-23(20)27(24)25(18-28(26,29)2)19-6-9-21(10-7-19)30(3)4/h6-7,9-10,17,24-26,32H,8,11-14,16,18H2,1-4H3/t24-,25+,26-,28-,29-/m0/s1",[H][C@@]12CC[C@@](O)(C#CC)[C@@]1(C)C[C@H](C1=CC=C(C=C1)N(C)C)C1=C3CCC(=O)C=C3CC[C@@]21[H],C29H35NO2,C07652,D00585,55245,46505795,50692,CHEMBL1276308,486,49889,50072024
DB00835,Brompheniramine,86-22-6,approved,ZDIGNSYAACHWNL-UHFFFAOYSA-N,"InChI=1S/C16H19BrN2/c1-19(2)12-10-15(16-5-3-4-11-18-16)13-6-8-14(17)9-7-13/h3-9,11,15H,10,12H2,1-2H3",CN(C)CCC(C1=CC=C(Br)C=C1)C1=CC=CC=N1,C16H19BrN2,C06857,D07543,6834,46508137,3183,CHEMBL811,,6573,50017666
DB00836,Loperamide,53179-11-6,approved,RDOIQAHITMMDAJ-UHFFFAOYSA-N,"InChI=1S/C29H33ClN2O2/c1-31(2)27(33)29(24-9-5-3-6-10-24,25-11-7-4-8-12-25)19-22-32-20-17-28(34,18-21-32)23-13-15-26(30)16-14-23/h3-16,34H,17-22H2,1-2H3",CN(C)C(=O)C(CCN1CCC(O)(CC1)C1=CC=C(Cl)C=C1)(C1=CC=CC=C1)C1=CC=CC=C1,C29H33ClN2O2,C07080,D08144,3955,46504591,6532,CHEMBL841,,3818,50017698
DB00839,Tolazamide,1156-19-0,approved; investigational,OUDSBRTVNLOZBN-UHFFFAOYSA-N,"InChI=1S/C14H21N3O3S/c1-12-6-8-13(9-7-12)21(19,20)16-14(18)15-17-10-4-2-3-5-11-17/h6-9H,2-5,10-11H2,1H3,(H2,15,16,18)",CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CCCCCC1,C14H21N3O3S,,D00379,5503,46505642,9613,CHEMBL817,,5302,50240099
DB00841,Dobutamine,34368-04-2,approved,JRWZLRBJNMZMFE-UHFFFAOYSA-N,"InChI=1S/C18H23NO3/c1-13(2-3-14-4-7-16(20)8-5-14)19-11-10-15-6-9-17(21)18(22)12-15/h4-9,12-13,19-22H,2-3,10-11H2,1H3",CC(CCC1=CC=C(O)C=C1)NCCC1=CC(O)=C(O)C=C1,C18H23NO3,C06967,D03879,36811,46505241,4670,CHEMBL926,,33786,50325274
DB00842,Oxazepam,604-75-1,approved,ADIMAYPTOBDMTL-UHFFFAOYSA-N,"InChI=1S/C15H11ClN2O2/c16-10-6-7-12-11(8-10)13(9-4-2-1-3-5-9)18-15(20)14(19)17-12/h1-8,15,20H,(H,17,19)",OC1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2,C15H11ClN2O2,C07359,D00464,4616,46506031,7823,CHEMBL568,,4455,85031
DB00843,Donepezil,120014-06-4,approved,ADEBPBSSDYVVLD-UHFFFAOYSA-N,"InChI=1S/C24H29NO3/c1-27-22-14-19-13-20(24(26)21(19)15-23(22)28-2)12-17-8-10-25(11-9-17)16-18-6-4-3-5-7-18/h3-7,14-15,17,20H,8-13,16H2,1-2H3",COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1,C24H29NO3,,D00670,3152,46504803,53289,CHEMBL502,,3040,8960
DB00844,Nalbuphine,20594-83-6,approved,NETZHAKZCGBWSS-CEDHKZHLSA-N,"InChI=1S/C21H27NO4/c23-14-5-4-13-10-16-21(25)7-6-15(24)19-20(21,17(13)18(14)26-19)8-9-22(16)11-12-2-1-3-12/h4-5,12,15-16,19,23-25H,1-3,6-11H2/t15-,16+,19-,20-,21+/m0/s1",O[C@H]1CC[C@@]2(O)[C@H]3CC4=CC=C(O)C5=C4[C@@]2(CCN3CC2CCC2)[C@H]1O5,C21H27NO4,C07251,D08246,5311304,46507383,7454,CHEMBL895,,4470813,50105085
DB00845,Clofazimine,2030-63-9,approved; investigational,WDQPAMHFFCXSNU-BGABXYSRSA-N,"InChI=1S/C27H22Cl2N4/c1-17(2)30-24-16-27-25(15-23(24)31-20-11-7-18(28)8-12-20)32-22-5-3-4-6-26(22)33(27)21-13-9-19(29)10-14-21/h3-17,31H,1-2H3/b30-24+",CC(C)N=C1C=C2N(C3=CC=C(Cl)C=C3)C3=C(C=CC=C3)N=C2C=C1NC1=CC=C(Cl)C=C1,C27H22Cl2N4,C06915,D00278,2794,46508174,3749,CHEMBL1292,,2692,50378783
DB00850,Perphenazine,58-39-9,approved,RGCVKNLCSQQDEP-UHFFFAOYSA-N,"InChI=1S/C21H26ClN3OS/c22-17-6-7-21-19(16-17)25(18-4-1-2-5-20(18)27-21)9-3-8-23-10-12-24(13-11-23)14-15-26/h1-2,4-7,16,26H,3,8-15H2",OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1,C21H26ClN3OS,C07427,D00503,4748,46507058,8028,CHEMBL567,,4586,50130273
DB00851,Dacarbazine,4342/3/4,approved; investigational,FDKXTQMXEQVLRF-ZHACJKMWSA-N,"InChI=1S/C6H10N6O/c1-12(2)11-10-6-4(5(7)13)8-3-9-6/h3H,1-2H3,(H2,7,13)(H,8,9)/b11-10+",CN(C)\N=N\C1=C(N=CN1)C(N)=O,C6H10N6O,C06936,D00288,5351166,46507029,4305,CHEMBL476,,10481959,50238687
DB00853,Temozolomide,85622-93-1,approved; investigational,BPEGJWRSRHCHSN-UHFFFAOYSA-N,"InChI=1S/C6H6N6O2/c1-11-6(14)12-2-8-3(4(7)13)5(12)9-10-11/h2H,1H3,(H2,7,13)",CN1N=NC2=C(N=CN2C1=O)C(N)=O,C6H6N6O2,,D06067,5394,46507934,72564,CHEMBL810,,5201,50034562
DB00857,Terbinafine,91161-71-6,approved; investigational; vet_approved,DOMXUEMWDBAQBQ-WEVVVXLNSA-N,"InChI=1S/C21H25N/c1-21(2,3)15-8-5-9-16-22(4)17-19-13-10-12-18-11-6-7-14-20(18)19/h5-7,9-14H,16-17H2,1-4H3/b9-5+",CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12,C21H25N,C08079,D02375,1549008,46508519,9448,CHEMBL822,,1266005,50018518
DB00860,Prednisolone,50-24-8,approved; vet_approved,OIGNJSKKLXVSLS-VWUMJDOOSA-N,"InChI=1S/C21H28O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h5,7,9,14-16,18,22,24,26H,3-4,6,8,10-11H2,1-2H3/t14-,15-,16-,18+,19-,20-,21-/m0/s1",[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,C21H28O5,C07369,D00472,5755,46504847,8378,CHEMBL131,TUA,5552,19190
DB00861,Diflunisal,22494-42-4,approved; investigational,HUPFGZXOMWLGNK-UHFFFAOYSA-N,"InChI=1S/C13H8F2O3/c14-8-2-3-9(11(15)6-8)7-1-4-12(16)10(5-7)13(17)18/h1-6,16H,(H,17,18)",OC(=O)C1=C(O)C=CC(=C1)C1=C(F)C=C(F)C=C1,C13H8F2O3,C01691,D00130,3059,46507807,39669,CHEMBL898,1FL,2951,50240510
DB00862,Vardenafil,224785-90-4,approved,SECKRCOLJRRGGV-UHFFFAOYSA-N,"InChI=1S/C23H32N6O4S/c1-5-8-20-24-16(4)21-23(30)25-22(26-29(20)21)18-15-17(9-10-19(18)33-7-3)34(31,32)28-13-11-27(6-2)12-14-28/h9-10,15H,5-8,11-14H2,1-4H3,(H,25,26,30)",CCCC1=NC(C)=C2N1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(CC)CC1,C23H32N6O4S,,D08668,110634,46506777,46295,CHEMBL1520,VDN,99300,50088373
DB00863,Ranitidine,66357-35-5,approved; withdrawn,VMXUWOKSQNHOCA-UHFFFAOYSA-N,"InChI=1S/C13H22N4O3S/c1-14-13(9-17(18)19)15-6-7-21-10-12-5-4-11(20-12)8-16(2)3/h4-5,9,14-15H,6-8,10H2,1-3H3",CNC(NCCSCC1=CC=C(CN(C)C)O1)=C[N+]([O-])=O,C13H22N4O3S,,D00422,3001055,46505543,92246,CHEMBL1790041,,4863,50103506
DB00864,Tacrolimus,104987-11-3,approved; investigational,QJJXYPPXXYFBGM-LFZNUXCKSA-N,"InChI=1S/C44H69NO12/c1-10-13-31-19-25(2)18-26(3)20-37(54-8)40-38(55-9)22-28(5)44(52,57-40)41(49)42(50)45-17-12-11-14-32(45)43(51)56-39(29(6)34(47)24-35(31)48)27(4)21-30-15-16-33(46)36(23-30)53-7/h10,19,21,26,28-34,36-40,46-47,52H,1,11-18,20,22-24H2,2-9H3/b25-19+,27-21+/t26-,28+,29+,30-,31+,32-,33+,34-,36+,37-,38-,39+,40+,44+/m0/s1",CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC,C44H69NO12,C01375,D00107,445643,46506004,61049,CHEMBL269732,FK5,393220,50079777
DB00868,Benzonatate,104-31-4,approved,MAFMQEKGGFWBAB-UHFFFAOYSA-N,"InChI=1S/C30H53NO11/c1-3-4-9-31-29-7-5-28(6-8-29)30(32)42-27-26-41-25-24-40-23-22-39-21-20-38-19-18-37-17-16-36-15-14-35-13-12-34-11-10-33-2/h5-8,31H,3-4,9-27H2,1-2H3",CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,C30H53NO11,,D00242,7699,46506376,3032,CHEMBL1374379,,7413,50240086
DB00869,Dorzolamide,120279-96-1,approved,IAVUPMFITXYVAF-XPUUQOCRSA-N,"InChI=1S/C10H16N2O4S3/c1-3-12-8-4-6(2)18(13,14)10-7(8)5-9(17-10)19(11,15)16/h5-6,8,12H,3-4H2,1-2H3,(H2,11,15,16)/t6-,8-/m0/s1",CCN[C@H]1C[C@H](C)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O,C10H16N2O4S3,C06969,D07871,5284549,46506754,4702,CHEMBL218490,ETS,4447604,10884
DB00870,Suprofen,40828-46-4,approved; withdrawn,MDKGKXOCJGEUJW-UHFFFAOYSA-N,"InChI=1S/C14H12O3S/c1-9(14(16)17)10-4-6-11(7-5-10)13(15)12-3-2-8-18-12/h2-9H,1H3,(H,16,17)",CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1,C14H12O3S,C07320,D00452,5359,46508210,9362,CHEMBL956,,5166,50090676
DB00871,Terbutaline,23031-25-6,approved,XWTYSIMOBUGWOL-UHFFFAOYSA-N,"InChI=1S/C12H19NO3/c1-12(2,3)13-7-11(16)8-4-9(14)6-10(15)5-8/h4-6,11,13-16H,7H2,1-3H3",CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,C12H19NO3,C07129,,5403,46506887,9449,CHEMBL1760,,5210,25770
DB00872,Conivaptan,210101-16-9,approved; investigational,IKENVDNFQMCRTR-UHFFFAOYSA-N,"InChI=1S/C32H26N4O2/c1-21-33-28-19-20-36(29-14-8-7-13-27(29)30(28)34-21)32(38)23-15-17-24(18-16-23)35-31(37)26-12-6-5-11-25(26)22-9-3-2-4-10-22/h2-18H,19-20H2,1H3,(H,33,34)(H,35,37)",CC1=NC2=C(CCN(C(=O)C3=CC=C(NC(=O)C4=CC=CC=C4C4=CC=CC=C4)C=C3)C3=CC=CC=C23)N1,C32H26N4O2,,D07748,151171,46504533,681850,CHEMBL1755,,133239,85095
DB00874,Guaifenesin,93-14-1,approved; investigational; vet_approved,HSRJKNPTNIJEKV-UHFFFAOYSA-N,"InChI=1S/C10H14O4/c1-13-9-4-2-3-5-10(9)14-7-8(12)6-11/h2-5,8,11-12H,6-7H2,1H3",COC1=CC=CC=C1OCC(O)CO,C10H14O4,,D00337,3516,46508004,5551,CHEMBL980,,3396,50240098
DB00876,Eprosartan,133040-01-4,approved,OROAFUQRIXKEMV-LDADJPATSA-N,"InChI=1S/C23H24N2O4S/c1-2-3-6-21-24-14-19(12-18(23(28)29)13-20-5-4-11-30-20)25(21)15-16-7-9-17(10-8-16)22(26)27/h4-5,7-12,14H,2-3,6,13,15H2,1H3,(H,26,27)(H,28,29)/b18-12+",CCCCC1=NC=C(\C=C(/CC2=CC=CS2)C(O)=O)N1CC1=CC=C(C=C1)C(O)=O,C23H24N2O4S,C07467,D04040,5281037,46506765,4814,CHEMBL813,,4444504,50011977
DB00878,Chlorhexidine,55-56-1,approved; vet_approved,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,"InChI=1S/C22H30Cl2N10/c23-15-5-9-17(10-6-15)31-21(27)33-19(25)29-13-3-1-2-4-14-30-20(26)34-22(28)32-18-11-7-16(24)8-12-18/h5-12H,1-4,13-14H2,(H5,25,27,29,31,33)(H5,26,28,30,32,34)",ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,C22H30Cl2N10,C06902,D07668,9552079,46506388,3614,CHEMBL790,,2612,50170723
DB00879,Emtricitabine,143491-57-0,approved; investigational,XQSPYNMVSIKCOC-NTSWFWBYSA-N,"InChI=1S/C8H10FN3O3S/c9-4-1-12(8(14)11-7(4)10)5-3-16-6(2-13)15-5/h1,5-6,13H,2-3H2,(H2,10,11,14)/t5-,6+/m0/s1",NC1=NC(=O)N(C=C1F)[C@@H]1CS[C@H](CO)O1,C8H10FN3O3S,C12599,D01199,60877,46507606,31536,CHEMBL885,ETV,54859,50107843
DB00881,Quinapril,85441-61-8,approved; investigational,JSDRRTOADPPCHY-HSQYWUDLSA-N,"InChI=1S/C25H30N2O5/c1-3-32-25(31)21(14-13-18-9-5-4-6-10-18)26-17(2)23(28)27-16-20-12-8-7-11-19(20)15-22(27)24(29)30/h4-12,17,21-22,26H,3,13-16H2,1-2H3,(H,29,30)/t17-,21-,22-/m0/s1",CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2=CC=CC=C2C[C@H]1C(O)=O,C25H30N2O5,C07398,D03752,54892,46506309,8713,CHEMBL1592,,49565,50368166
DB00883,Isosorbide dinitrate,87-33-2,approved; investigational,MOYKHGMNXAOIAT-JGWLITMVSA-N,"InChI=1S/C6H8N2O8/c9-7(10)15-3-1-13-6-4(16-8(11)12)2-14-5(3)6/h3-6H,1-2H2/t3-,4+,5-,6-/m1/s1",[H][C@]12OC[C@H](O[N+]([O-])=O)[C@@]1([H])OC[C@H]2O[N+]([O-])=O,C6H8N2O8,C07456,D00516,6883,46506412,6061,CHEMBL6622,,6619,
DB00887,Bumetanide,28395-03-1,approved,MAEIEVLCKWDQJH-UHFFFAOYSA-N,"InChI=1S/C17H20N2O5S/c1-2-3-9-19-14-10-12(17(20)21)11-15(25(18,22)23)16(14)24-13-7-5-4-6-8-13/h4-8,10-11,19H,2-3,9H2,1H3,(H,20,21)(H2,18,22,23)",CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O,C17H20N2O5S,,D00247,2471,46508147,3213,CHEMBL1072,,2377,25903
